Symbol	Protein_name	Chromosome	Uniprot	Ensembl_x	Ensembl_y	Family
DBP	D-box binding PAR bZIP transcription factor	19q13.33	Q10586	ENSG00000105516	ENSG00000105516	TF_bZIP
DBX1	developing brain homeobox 1	11p15.1	A6NMT0	ENSG00000109851	ENSG00000109851	Homeobox
DBX2	developing brain homeobox 2	12q12	Q6ZNG2	ENSG00000185610	ENSG00000185610	Homeobox
DDIT3	DNA damage inducible transcript 3	12q13.3	P0DPQ6, P35638	ENSG00000175197	ENSG00000175197	TF_bZIP
DEAF1	DEAF1 transcription factor	11p15.5	O75398	ENSG00000177030	ENSG00000177030	SAND
DLX1	distal-less homeobox 1	2q31.1	P56177	ENSG00000144355	ENSG00000144355	Homeobox
DLX2	distal-less homeobox 2	2q31.1	Q07687	ENSG00000115844	ENSG00000115844	Homeobox
DLX3	distal-less homeobox 3	17q21.33	O60479	ENSG00000064195	ENSG00000064195	Homeobox
DLX4	distal-less homeobox 4	17q21.33	Q92988	ENSG00000108813	ENSG00000108813	Homeobox
DLX5	distal-less homeobox 5	7q21.3	P56178	ENSG00000105880	ENSG00000105880	Homeobox
DLX6	distal-less homeobox 6	7q21.3	P56179	ENSG00000006377	ENSG00000006377	Homeobox
DMBX1	diencephalon/mesencephalon homeobox 1	1p33	Q8NFW5	ENSG00000197587	ENSG00000197587	Homeobox
DMRT1	doublesex and mab-3 related transcription factor 1	9p24.3	Q9Y5R6	ENSG00000137090	ENSG00000137090	DM
DMRT2	doublesex and mab-3 related transcription factor 2	9p24.3	Q9Y5R5	ENSG00000173253	ENSG00000173253	DM
DMRT3	doublesex and mab-3 related transcription factor 3	9p24.3	Q9NQL9	ENSG00000064218	ENSG00000064218	DM
DMRTA1	DMRT like family A1	9p21.3	Q5VZB9	ENSG00000176399	ENSG00000176399	DM
DMRTA2	DMRT like family A2	1p32.3	Q96SC8	ENSG00000142700	ENSG00000142700	DM
DMRTB1	DMRT like family B with proline rich C-terminal 1	1p32.3	Q96MA1	ENSG00000143006	ENSG00000143006	DM
DMRTC1	DMRT like family C1	Xq13.1	Q5HYR2	ENSG00000269502	ENSG00000269502	Others
DMRTC1B	DMRT like family C1B	Xq13.1	Q5HYR2	ENSG00000184911	ENSG00000184911	Others
DMRTC2	DMRT like family C2	19q13.2	Q8IXT2	ENSG00000142025	ENSG00000142025	DM
DMTF1	cyclin D binding myb like transcription factor 1	7q21.12	Q9Y222	ENSG00000135164	ENSG00000135164	MYB
DNAJC1	DnaJ heat shock protein family (Hsp40) member C1	10p12.31	Q96KC8	ENSG00000136770	ENSG00000136770	MYB
DNAJC2	DnaJ heat shock protein family (Hsp40) member C2	7q22.1	Q99543	ENSG00000105821	ENSG00000105821	MYB
DPRX	divergent-paired related homeobox	19q13.42	A6NFQ7	ENSG00000204595	ENSG00000204595	Homeobox
DRGX	dorsal root ganglia homeobox	10q11.23	A6NNA5	ENSG00000165606	ENSG00000165606	Homeobox
DUX4	double homeobox 4	4q35.2	Q9UBX2	ENSG00000260596	ENSG00000260596	Homeobox
DUXA	double homeobox A	19q13.43	A6NLW8	ENSG00000258873	ENSG00000258873	Homeobox
DUXB	double homeobox B	16q23.1	A0A1W2PPF3	ENSG00000282757	ENSG00000282757	Homeobox
E2F1	E2F transcription factor 1	20q11.22	Q01094	ENSG00000101412	ENSG00000101412	E2F
E2F2	E2F transcription factor 2	1p36.12	Q14209	ENSG00000007968	ENSG00000007968	E2F
E2F3	E2F transcription factor 3	6p22.3	O00716	ENSG00000112242	ENSG00000112242	E2F
E2F4	E2F transcription factor 4	16q22.1	Q16254	ENSG00000205250	ENSG00000205250	E2F
E2F5	E2F transcription factor 5	8q21.2	Q15329	ENSG00000133740	ENSG00000133740	E2F
E2F6	E2F transcription factor 6	2p25.1	O75461	ENSG00000169016	ENSG00000169016	E2F
E2F7	E2F transcription factor 7	12q21.2	Q96AV8	ENSG00000165891	ENSG00000165891	E2F
E2F8	E2F transcription factor 8	11p15.1	A0AVK6	ENSG00000129173	ENSG00000129173	E2F
E4F1	E4F transcription factor 1	16p13.3	Q66K89	ENSG00000167967	ENSG00000167967	zf-C2H2
EBF1	EBF transcription factor 1	5q33.3	Q9UH73	ENSG00000164330	ENSG00000164330	COE
EBF2	EBF transcription factor 2	8p21.2	Q9HAK2	ENSG00000221818	ENSG00000221818	COE
EBF3	EBF transcription factor 3	10q26.3	Q9H4W6	ENSG00000108001	ENSG00000108001	COE
EBF4	EBF family member 4	20p13	Q9BQW3	ENSG00000088881	ENSG00000088881	COE
EGR1	early growth response 1	5q31.2	P18146	ENSG00000120738	ENSG00000120738	zf-C2H2
EGR2	early growth response 2	10q21.3	P11161	ENSG00000122877	ENSG00000122877	zf-C2H2
EGR3	early growth response 3	8p21.3	Q06889	ENSG00000179388	ENSG00000179388	zf-C2H2
EGR4	early growth response 4	2p13.2	Q05215	ENSG00000135625	ENSG00000135625	zf-C2H2
EHF	ETS homologous factor	11p13	Q9NZC4	ENSG00000135373	ENSG00000135373	ETS
ELF1	E74 like ETS transcription factor 1	13q14.11	P32519	ENSG00000120690	ENSG00000120690	ETS
ELF2	E74 like ETS transcription factor 2	4q31.1	Q15723	ENSG00000109381	ENSG00000109381	ETS
ELF3	E74 like ETS transcription factor 3	1q32.1	P78545	ENSG00000163435	ENSG00000163435	ETS
ELF4	E74 like ETS transcription factor 4	Xq26.1	Q99607	ENSG00000102034	ENSG00000102034	ETS
ELF5	E74 like ETS transcription factor 5	11p13	Q9UKW6	ENSG00000135374	ENSG00000135374	ETS
ELK1	ETS transcription factor ELK1	Xp11.23	P19419	ENSG00000126767	ENSG00000126767	ETS
ELK3	ETS transcription factor ELK3	12q23.1	P41970	ENSG00000111145	ENSG00000111145	ETS
ELK4	ETS transcription factor ELK4	1q32.1	P28324	ENSG00000158711	ENSG00000158711	ETS
EMX1	empty spiracles homeobox 1	2p13.2	Q04741	ENSG00000135638	ENSG00000135638	Homeobox
EMX2	empty spiracles homeobox 2	10q26.11	Q04743	ENSG00000170370	ENSG00000170370	Homeobox
EN1	engrailed homeobox 1	2q14.2	Q05925	ENSG00000163064	ENSG00000163064	Homeobox
EN2	engrailed homeobox 2	7q36.3	P19622	ENSG00000164778	ENSG00000164778	Homeobox
EOMES	eomesodermin	3p24.1	O95936	ENSG00000163508	ENSG00000163508	T-box
EPAS1	endothelial PAS domain protein 1	2p21	Q99814	ENSG00000116016	ENSG00000116016	Others
ERF	ETS2 repressor factor	19q13.2	P50548	ENSG00000105722	ENSG00000105722	ETS
ERG	ETS transcription factor ERG	21q22.2	P11308	ENSG00000157554	ENSG00000157554	ETS
ESR1	estrogen receptor 1	6q25.1-q25.2	P03372	ENSG00000091831	ENSG00000091831	ESR-like
ESR2	estrogen receptor 2	14q23.2-q23.3	Q92731	ENSG00000140009	ENSG00000140009	ESR-like
ESRRA	estrogen related receptor alpha	11q13.1	P11474	ENSG00000173153	ENSG00000173153	ESR-like
ESRRB	estrogen related receptor beta	14q24.3	O95718	ENSG00000119715	ENSG00000119715	ESR-like
ESRRG	estrogen related receptor gamma	1q41	P62508	ENSG00000196482	ENSG00000196482	ESR-like
ESX1	ESX homeobox 1	Xq22.2	Q8N693	ENSG00000123576	ENSG00000123576	Homeobox
ETS1	ETS proto-oncogene 1, transcription factor	11q24.3	P14921	ENSG00000134954	ENSG00000134954	ETS
ETS2	ETS proto-oncogene 2, transcription factor	21q22.2	P15036	ENSG00000157557	ENSG00000157557	ETS
ETV1	ETS variant transcription factor 1	7p21.2	P50549	ENSG00000006468	ENSG00000006468	ETS
ETV2	ETS variant transcription factor 2	19q13.12	O00321	ENSG00000105672	ENSG00000105672	ETS
ETV3	ETS variant transcription factor 3	1q23.1	P41162	ENSG00000117036	ENSG00000117036	ETS
ETV3L	ETS variant transcription factor 3 like	1q23.1	Q6ZN32	ENSG00000253831	ENSG00000253831	ETS
ETV4	ETS variant transcription factor 4	17q21.31	P43268	ENSG00000175832	ENSG00000175832	ETS
ETV5	ETS variant transcription factor 5	3q27.2	P41161	ENSG00000244405	ENSG00000244405	ETS
ETV6	ETS variant transcription factor 6	12p13.2	P41212	ENSG00000139083	ENSG00000139083	ETS
ETV7	ETS variant transcription factor 7	6p21.31	Q9Y603	ENSG00000010030	ENSG00000010030	ETS
EVX1	even-skipped homeobox 1	7p15.2	P49640	ENSG00000106038	ENSG00000106038	Homeobox
EVX2	even-skipped homeobox 2	2q31.1	Q03828	ENSG00000174279	ENSG00000174279	Homeobox
FAM170A	family with sequence similarity 170 member A	5q23.1	A1A519	ENSG00000164334	ENSG00000164334	Others
FERD3L	Fer3 like bHLH transcription factor	7p21.1	Q96RJ6	ENSG00000146618	ENSG00000146618	bHLH
FEV	FEV transcription factor, ETS family member	2q35	Q99581	ENSG00000163497	ENSG00000163497	ETS
FEZF1	FEZ family zinc finger 1	7q31.32	A0PJY2	ENSG00000128610	ENSG00000128610	zf-C2H2
FEZF2	FEZ family zinc finger 2	3p14.2	Q8TBJ5	ENSG00000153266	ENSG00000153266	zf-C2H2
FIGLA	folliculogenesis specific bHLH transcription factor	2p13.3	Q6QHK4	ENSG00000183733	ENSG00000183733	bHLH
FIZ1	FLT3 interacting zinc finger 1	19q13.42	Q96SL8	ENSG00000179943	ENSG00000179943	zf-C2H2
FLI1	Fli-1 proto-oncogene, ETS transcription factor	11q24.3	Q01543	ENSG00000151702	ENSG00000151702	ETS
FOS	Fos proto-oncogene, AP-1 transcription factor subunit	14q24.3	P01100	ENSG00000170345	ENSG00000170345	TF_bZIP
FOSB	FosB proto-oncogene, AP-1 transcription factor subunit	19q13.32	P53539	ENSG00000125740	ENSG00000125740	TF_bZIP
FOSL1	FOS like 1, AP-1 transcription factor subunit	11q13.1	P15407	ENSG00000175592	ENSG00000175592	TF_bZIP
FOSL2	FOS like 2, AP-1 transcription factor subunit	2p23.2	P15408	ENSG00000075426	ENSG00000075426	TF_bZIP
FOXA1	forkhead box A1	14q21.1	P55317	ENSG00000129514	ENSG00000129514	Fork_head
FOXA2	forkhead box A2	20p11.21	Q9Y261	ENSG00000125798	ENSG00000125798	Fork_head
FOXA3	forkhead box A3	19q13.32	P55318	ENSG00000170608	ENSG00000170608	Fork_head
FOXB1	forkhead box B1	15q22.2	Q99853	ENSG00000171956	ENSG00000171956	Fork_head
FOXB2	forkhead box B2	9q21.2	Q5VYV0	ENSG00000204612	ENSG00000204612	Fork_head
FOXC1	forkhead box C1	6p25.3	Q12948	ENSG00000054598	ENSG00000054598	Fork_head
FOXC2	forkhead box C2	16q24.1	Q99958	ENSG00000176692	ENSG00000176692	Fork_head
FOXD1	forkhead box D1	5q13.2	Q16676	ENSG00000251493	ENSG00000251493	Fork_head
FOXD2	forkhead box D2	1p33	O60548	ENSG00000186564	ENSG00000186564	Fork_head
FOXD3	forkhead box D3	1p31.3	Q9UJU5	ENSG00000187140	ENSG00000187140	Fork_head
FOXD4	forkhead box D4	9p24.3	Q12950	ENSG00000170122	ENSG00000170122	Fork_head
FOXD4L1	forkhead box D4 like 1	2q14.1	Q9NU39	ENSG00000184492	ENSG00000184492	Fork_head
FOXD4L3	forkhead box D4 like 3	9q21.11	Q6VB84	ENSG00000187559	ENSG00000187559	Fork_head
FOXD4L4	forkhead box D4 like 4	9q21.11	Q8WXT5	ENSG00000184659	ENSG00000184659	Fork_head
FOXD4L5	forkhead box D4 like 5	9q21.11	Q5VV16	ENSG00000204779	ENSG00000204779	Fork_head
FOXD4L6	forkhead box D4 like 6	9p11.2	Q3SYB3	ENSG00000273514	ENSG00000273514	Fork_head
FOXE1	forkhead box E1	9q22.33	O00358	ENSG00000178919	ENSG00000178919	Fork_head
FOXE3	forkhead box E3	1p33	Q13461	ENSG00000186790	ENSG00000186790	Fork_head
FOXF1	forkhead box F1	16q24.1	Q12946	ENSG00000103241	ENSG00000103241	Fork_head
FOXF2	forkhead box F2	6p25.3	Q12947	ENSG00000137273	ENSG00000137273	Fork_head
FOXG1	forkhead box G1	14q12	P55316	ENSG00000176165	ENSG00000176165	Fork_head
FOXH1	forkhead box H1	8q24.3	O75593	ENSG00000160973	ENSG00000160973	Fork_head
FOXI1	forkhead box I1	5q35.1	Q12951	ENSG00000168269	ENSG00000168269	Fork_head
FOXI2	forkhead box I2	10q26.2	Q6ZQN5	ENSG00000186766	ENSG00000186766	Fork_head
FOXI3	forkhead box I3	2p11.2	A8MTJ6	ENSG00000214336	ENSG00000214336	Fork_head
FOXJ1	forkhead box J1	17q25.1	Q92949	ENSG00000129654	ENSG00000129654	Fork_head
FOXJ2	forkhead box J2	12p13.31	Q9P0K8	ENSG00000065970	ENSG00000065970	Fork_head
FOXJ3	forkhead box J3	1p34.2	Q9UPW0	ENSG00000198815	ENSG00000198815	Fork_head
FOXK1	forkhead box K1	7p22.1	P85037	ENSG00000164916	ENSG00000164916	Fork_head
FOXK2	forkhead box K2	17q25.3	Q01167	ENSG00000141568	ENSG00000141568	Fork_head
